"347;380;371;"
"361;379;372;"
"368;380;371;"
"370;380;371;"
"388;380;371;"
"385;380;371;"
"376;380;370;"
"332;380;371;"
"325;380;371;"
"304;380;371;"
"299;380;371;"
"314;380;371;"
"337;379;370;"
"340;380;371;"
"358;380;371;"
"362;380;370;"
"356;380;371;"
"384;379;371;"
"396;380;370;"
"380;380;371;"
"366;380;371;"
"356;379;370;"
"323;380;371;"
"326;380;371;"
"302;380;370;"
"303;380;371;"
"323;379;371;"
"336;380;371;"
"355;380;371;"
"373;379;370;"
"385;380;371;"
"398;380;371;"
"383;379;371;"
"352;380;371;"
"319;379;371;"
"303;379;371;"
"304;380;371;"
"268;380;371;"
"344;379;371;"
"346;380;371;"
"353;380;371;"
"375;380;370;"
"379;380;370;"
"385;380;374;"
"392;383;378;"
"392;384;381;"
"401;386;384;"
"394;388;388;"
"373;390;392;"
"358;391;397;"
"339;392;399;"
"347;392;399;"
"366;391;399;"
"374;392;398;"
"377;392;396;"
"412;391;393;"
"441;392;391;"
"452;392;391;"
"447;391;390;"
"450;392;386;"
"424;392;386;"
"402;391;387;"
"385;391;389;"
"396;388;391;"
"387;391;391;"
"385;391;393;"
"399;392;394;"
"420;391;395;"
"434;391;397;"
"466;391;397;"
"463;391;397;"
"427;391;398;"
"406;391;398;"
"358;391;398;"
"344;391;399;"
"321;391;399;"
"326;390;399;"
"336;391;399;"
"349;390;399;"
"361;390;399;"
"362;390;399;"
"386;390;399;"
"379;390;398;"
"411;390;398;"
"422;389;397;"
"396;390;397;"
"376;389;397;"
"345;389;396;"
"331;390;396;"
"297;389;396;"
"308;389;395;"
"316;389;395;"
"340;389;395;"
"367;388;394;"
"380;389;393;"
"404;388;393;"
"420;388;393;"
"402;388;393;"
"373;388;392;"
"358;388;391;"
"310;388;391;"
"298;388;391;"
"308;388;390;"
"319;387;391;"
"347;388;390;"
"365;388;390;"
"384;388;390;"
"413;387;389;"
